position,item,sum_rank,avg_rank
1,3658,10911,2182.2000
2,1359,12426,2485.2000
3,1969,13474,2694.8000
4,2764,13503,2700.6000
5,3797,13570,2714.0000
6,2156,13653,2730.6000
7,4416,13782,2756.4000
8,1801,13881,2776.2000
9,4998,13933,2786.6000
10,2520,14013,2802.6000
11,9629,14550,2910.0000
12,1636,14797,2959.4000
13,8670,14891,2978.2000
14,4532,14905,2981.0000
15,5309,15141,3028.2000
16,5571,15150,3030.0000
17,1069,15231,3046.2000
18,6673,15294,3058.8000
19,8012,15297,3059.4000
20,3792,15369,3073.8000
21,6453,15475,3095.0000
22,2721,15511,3102.2000
23,7822,15698,3139.6000
24,5679,15752,3150.4000
25,2151,15853,3170.6000
26,6013,15892,3178.4000
27,7918,16140,3228.0000
28,1144,16165,3233.0000
29,2977,16200,3240.0000
30,1751,16211,3242.2000
31,5199,16376,3275.2000
32,7032,16422,3284.4000
33,5960,16453,3290.6000
34,4582,16601,3320.2000
35,107,16609,3321.8000
36,8141,16671,3334.2000
37,605,16731,3346.2000
38,4404,16753,3350.6000
39,8721,16775,3355.0000
40,7722,16963,3392.6000
41,2701,17035,3407.0000
42,5181,17039,3407.8000
43,4085,17238,3447.6000
44,7274,17259,3451.8000
45,7629,17341,3468.2000
46,1158,17398,3479.6000
47,6095,17402,3480.4000
48,3573,17480,3496.0000
49,8401,17480,3496.0000
50,9164,17519,3503.8000
51,6918,17541,3508.2000
52,4609,17568,3513.6000
53,3114,17637,3527.4000
54,7119,17668,3533.6000
55,5428,17789,3557.8000
56,246,17813,3562.6000
57,9943,17929,3585.8000
58,7520,17940,3588.0000
59,2883,18002,3600.4000
60,8286,18032,3606.4000
61,9222,18147,3629.4000
62,6770,18178,3635.6000
63,5201,18238,3647.6000
64,719,18248,3649.6000
65,4988,18267,3653.4000
66,9459,18352,3670.4000
67,4992,18364,3672.8000
68,8917,18374,3674.8000
69,2414,18479,3695.8000
70,3621,18481,3696.2000
71,2552,18518,3703.6000
72,7743,18548,3709.6000
73,822,18599,3719.8000
74,4193,18672,3734.4000
75,9045,18707,3741.4000
76,1847,18734,3746.8000
77,6079,18798,3759.6000
78,9382,18950,3790.0000
79,1264,18991,3798.2000
80,6830,18998,3799.6000
81,7948,19010,3802.0000
82,9656,19021,3804.2000
83,5681,19057,3811.4000
84,6333,19163,3832.6000
85,9581,19193,3838.6000
86,6730,19229,3845.8000
87,8251,19345,3869.0000
88,6047,19353,3870.6000
89,4620,19385,3877.0000
90,8006,19402,3880.4000
91,7555,19406,3881.2000
92,5700,19433,3886.6000
93,9720,19446,3889.2000
94,8745,19521,3904.2000
95,2812,19570,3914.0000
96,1023,19614,3922.8000
97,3769,19680,3936.0000
98,4662,19727,3945.4000
99,9946,19733,3946.6000
100,1387,19777,3955.4000
101,4644,19788,3957.6000
102,1060,19810,3962.0000
103,8223,19883,3976.6000
104,7753,19891,3978.2000
105,3665,19910,3982.0000
106,1381,19972,3994.4000
107,4840,19977,3995.4000
108,1793,19981,3996.2000
109,7102,20005,4001.0000
110,7034,20060,4012.0000
111,6089,20104,4020.8000
112,9170,20108,4021.6000
113,9483,20147,4029.4000
114,8226,20224,4044.8000
115,7581,20245,4049.0000
116,8001,20249,4049.8000
117,5429,20259,4051.8000
118,1248,20261,4052.2000
119,5138,20362,4072.4000
120,8878,20363,4072.6000
121,3447,20373,4074.6000
122,4611,20418,4083.6000
123,3602,20435,4087.0000
124,4837,20437,4087.4000
125,9658,20474,4094.8000
126,7767,20493,4098.6000
127,8923,20517,4103.4000
128,4083,20567,4113.4000
129,1580,20614,4122.8000
130,6645,20615,4123.0000
131,8658,20656,4131.2000
132,5293,20670,4134.0000
133,3079,20690,4138.0000
134,7647,20696,4139.2000
135,8687,20699,4139.8000
136,1423,20709,4141.8000
137,8858,20716,4143.2000
138,9419,20724,4144.8000
139,2851,20772,4154.4000
140,4650,20786,4157.2000
141,4205,20793,4158.6000
142,3877,20816,4163.2000
143,1370,20936,4187.2000
144,4424,20937,4187.4000
145,7287,20956,4191.2000
146,893,20963,4192.6000
147,3495,20991,4198.2000
148,8834,21002,4200.4000
149,7975,21016,4203.2000
150,9355,21059,4211.8000
151,4113,21067,4213.4000
152,2367,21068,4213.6000
153,9655,21106,4221.2000
154,734,21126,4225.2000
155,8805,21130,4226.0000
156,1066,21131,4226.2000
157,9119,21138,4227.6000
158,9609,21150,4230.0000
159,4492,21176,4235.2000
160,4297,21184,4236.8000
161,1964,21237,4247.4000
162,1791,21239,4247.8000
163,6475,21245,4249.0000
164,875,21277,4255.4000
165,6768,21293,4258.6000
166,1204,21317,4263.4000
167,3259,21409,4281.8000
168,3923,21423,4284.6000
169,5451,21434,4286.8000
170,1182,21474,4294.8000
171,7422,21474,4294.8000
172,221,21498,4299.6000
173,7373,21498,4299.6000
174,332,21545,4309.0000
175,3575,21563,4312.6000
176,4891,21573,4314.6000
177,887,21587,4317.4000
178,4099,21679,4335.8000
179,9865,21680,4336.0000
180,3186,21682,4336.4000
181,1591,21778,4355.6000
182,2169,21782,4356.4000
183,4660,21785,4357.0000
184,3702,21796,4359.2000
185,7593,21798,4359.6000
186,7485,21810,4362.0000
187,5805,21826,4365.2000
188,6146,21834,4366.8000
189,8852,21878,4375.6000
190,861,21882,4376.4000
191,4746,21903,4380.6000
192,5897,21912,4382.4000
193,2027,21956,4391.2000
194,7429,22003,4400.6000
195,3396,22022,4404.4000
196,2906,22039,4407.8000
197,8926,22056,4411.2000
198,2796,22063,4412.6000
199,5350,22078,4415.6000
200,4289,22104,4420.8000
201,1477,22107,4421.4000
202,6473,22117,4423.4000
203,9803,22123,4424.6000
204,9665,22188,4437.6000
205,7466,22210,4442.0000
206,9101,22217,4443.4000
207,809,22242,4448.4000
208,5610,22243,4448.6000
209,8103,22264,4452.8000
210,8240,22344,4468.8000
211,7424,22348,4469.6000
212,3983,22382,4476.4000
213,7074,22391,4478.2000
214,9253,22398,4479.6000
215,7780,22406,4481.2000
216,8813,22416,4483.2000
217,7319,22420,4484.0000
218,2980,22426,4485.2000
219,4333,22443,4488.6000
220,8349,22444,4488.8000
221,9092,22490,4498.0000
222,6077,22500,4500.0000
223,1530,22505,4501.0000
224,5222,22525,4505.0000
225,9838,22528,4505.6000
226,2009,22560,4512.0000
227,6200,22562,4512.4000
228,7716,22564,4512.8000
229,3468,22589,4517.8000
230,5800,22591,4518.2000
231,7894,22595,4519.0000
232,4260,22610,4522.0000
233,3204,22626,4525.2000
234,8594,22669,4533.8000
235,7501,22676,4535.2000
236,2395,22683,4536.6000
237,8377,22698,4539.6000
238,4618,22716,4543.2000
239,6892,22731,4546.2000
240,8000,22746,4549.2000
241,7491,22748,4549.6000
242,2708,22755,4551.0000
243,6015,22765,4553.0000
244,4820,22776,4555.2000
245,9703,22784,4556.8000
246,2569,22798,4559.6000
247,6346,22799,4559.8000
248,8395,22801,4560.2000
249,7462,22804,4560.8000
250,4603,22828,4565.6000
251,9013,22841,4568.2000
252,666,22850,4570.0000
253,6592,22851,4570.2000
254,6528,22864,4572.8000
255,7677,22864,4572.8000
256,9826,22873,4574.6000
257,9325,22886,4577.2000
258,4040,22889,4577.8000
259,6479,22907,4581.4000
260,2681,22917,4583.4000
261,492,22920,4584.0000
262,1657,22922,4584.4000
263,6084,22932,4586.4000
264,1475,22936,4587.2000
265,2540,22938,4587.6000
266,7280,22939,4587.8000
267,9243,22944,4588.8000
268,1371,22951,4590.2000
269,5084,22956,4591.2000
270,890,22956,4591.2000
271,858,22957,4591.4000
272,86,22966,4593.2000
273,5735,22968,4593.6000
274,6577,22982,4596.4000
275,3130,22994,4598.8000
276,4015,23013,4602.6000
277,975,23017,4603.4000
278,7504,23022,4604.4000
279,2586,23026,4605.2000
280,4941,23028,4605.6000
281,9534,23028,4605.6000
282,6709,23031,4606.2000
283,7981,23039,4607.8000
284,1564,23049,4609.8000
285,1844,23059,4611.8000
286,8558,23084,4616.8000
287,6788,23095,4619.0000
288,7302,23109,4621.8000
289,4037,23118,4623.6000
290,8736,23126,4625.2000
291,4206,23140,4628.0000
292,4236,23166,4633.2000
293,7263,23167,4633.4000
294,9844,23169,4633.8000
295,4841,23173,4634.6000
296,8247,23174,4634.8000
297,4220,23178,4635.6000
298,4723,23196,4639.2000
299,8955,23227,4645.4000
300,6928,23231,4646.2000
301,6197,23233,4646.6000
302,8651,23240,4648.0000
303,3924,23248,4649.6000
304,6723,23256,4651.2000
305,9239,23261,4652.2000
306,8059,23278,4655.6000
307,3827,23295,4659.0000
308,4797,23295,4659.0000
309,6279,23296,4659.2000
310,6927,23335,4667.0000
311,8392,23355,4671.0000
312,1372,23359,4671.8000
313,8586,23367,4673.4000
314,774,23371,4674.2000
315,939,23379,4675.8000
316,7584,23383,4676.6000
317,8796,23385,4677.0000
318,5072,23393,4678.6000
319,121,23398,4679.6000
320,2559,23400,4680.0000
321,1481,23405,4681.0000
322,7574,23408,4681.6000
323,296,23409,4681.8000
324,679,23423,4684.6000
325,6454,23431,4686.2000
326,3090,23433,4686.6000
327,7423,23435,4687.0000
328,7189,23444,4688.8000
329,755,23451,4690.2000
330,3824,23461,4692.2000
331,8064,23473,4694.6000
332,1005,23492,4698.4000
333,5466,23492,4698.4000
334,3063,23493,4698.6000
335,1695,23506,4701.2000
336,6579,23524,4704.8000
337,6900,23540,4708.0000
338,253,23546,4709.2000
339,3974,23576,4715.2000
340,898,23581,4716.2000
341,2200,23584,4716.8000
342,93,23596,4719.2000
343,5393,23608,4721.6000
344,386,23609,4721.8000
345,1690,23633,4726.6000
346,7595,23648,4729.6000
347,3478,23667,4733.4000
348,7815,23670,4734.0000
349,9746,23687,4737.4000
350,4931,23690,4738.0000
351,521,23702,4740.4000
352,5343,23723,4744.6000
353,4409,23724,4744.8000
354,1323,23725,4745.0000
355,916,23749,4749.8000
356,4520,23752,4750.4000
357,1132,23772,4754.4000
358,3498,23782,4756.4000
359,7000,23784,4756.8000
360,7334,23786,4757.2000
361,9925,23794,4758.8000
362,6319,23811,4762.2000
363,3699,23834,4766.8000
364,6009,23869,4773.8000
365,3009,23880,4776.0000
366,8709,23888,4777.6000
367,4378,23893,4778.6000
368,4010,23899,4779.8000
369,1997,23935,4787.0000
370,9197,23968,4793.6000
371,1119,23973,4794.6000
372,8449,23992,4798.4000
373,9319,24000,4800.0000
374,6107,24002,4800.4000
375,6515,24010,4802.0000
376,4436,24032,4806.4000
377,351,24044,4808.8000
378,1854,24059,4811.8000
379,5559,24062,4812.4000
380,4209,24065,4813.0000
381,8987,24069,4813.8000
382,8609,24070,4814.0000
383,5349,24097,4819.4000
384,154,24098,4819.6000
385,7324,24102,4820.4000
386,8188,24112,4822.4000
