index_in_source,combined_position
1,5419
2,2174
3,1395
4,1309
5,1037
6,176
7,2299
8,4819
9,5850
10,637
11,6281
12,554
13,2952
14,7727
15,937
16,4047
17,7801
18,573
19,6560
20,6230
21,159
22,2773
23,8672
24,6592
25,1977
26,9191
27,5864
28,8082
29,1465
30,7877
31,4573
32,1132
33,225
34,96
35,6125
36,342
37,2907
38,8659
39,2053
40,7234
41,8959
42,4023
43,6207
44,747
45,6901
46,2351
47,407
48,1729
49,8359
50,9071
51,2022
52,3822
53,3274
54,449
55,2433
56,5915
57,85
58,482
59,6545
60,1018
61,3000
62,7111
63,2313
64,2754
65,5854
66,123
67,6686
68,4943
69,3015
70,2543
71,3724
72,8450
73,2119
74,2569
75,5436
76,3975
77,1902
78,1243
79,58
80,329
81,6376
82,8818
83,4477
84,8996
85,1094
86,2795
87,1167
88,6412
89,691
90,5425
91,4622
92,5134
93,1210
94,5772
95,7938
96,4249
97,4839
98,3596
99,4587
100,1193
101,8051
102,8079
103,13
104,542
105,6361
106,1542
107,3499
108,3726
109,580
110,1410
111,5143
112,2432
113,9583
114,3878
115,9204
116,6651
117,42
118,6365
119,5015
120,2986
121,2626
122,5728
123,3758
124,5688
125,5890
126,8329
127,4
128,3484
129,4801
130,2800
131,4832
132,2395
133,5306
134,2023
135,59
136,1690
137,203
138,4839
139,8204
140,7152
141,363
142,6694
143,2501
144,655
145,8854
146,793
147,3435
148,282
149,4895
150,4541
151,3610
152,5192
153,597
154,616
155,6939
156,4311
157,546
158,8813
159,4878
160,6712
161,56
162,298
163,3048
164,2056
165,2942
166,3971
167,5755
168,1062
169,3704
170,2505
171,5195
172,1517
173,28
174,888
175,2705
176,3262
177,5559
178,8763
179,1640
180,1890
181,4683
182,3332
183,2843
184,6730
185,1357
186,1327
187,1921
188,3367
189,1766
190,976
191,4838
192,2886
193,6781
194,6315
195,7266
196,1385
197,1786
198,8185
199,7897
200,5520
201,1844
202,399
203,3097
204,1634
205,5041
206,8893
207,4375
208,732
209,6765
210,359
211,2
212,4237
213,556
214,5041
215,1751
216,4178
217,2231
218,2599
219,3401
220,4761
221,4577
222,1097
223,957
224,427
225,2910
226,5623
227,2044
228,4497
229,3463
230,3820
231,391
232,6329
233,738
234,733
235,338
236,1952
237,6108
238,1609
239,4742
240,1002
241,8175
242,8412
243,353
244,7304
245,3024
246,3753
247,1450
248,6989
249,1218
250,2001
251,261
252,3029
253,654
254,8651
255,7062
256,2096
257,2273
258,1034
259,3019
260,1066
261,1962
262,4955
263,3679
264,4431
265,4930
266,2794
267,5692
268,9114
269,8092
270,6031
271,5184
272,414
273,1393
274,445
275,8451
276,287
277,9637
278,1351
279,3556
280,791
281,3092
282,635
283,7145
284,1853
285,2528
286,5316
287,8359
288,8685
289,17
290,3158
291,2632
292,3693
293,370
294,6111
295,6308
296,975
297,8370
298,3361
299,4672
300,5483
301,881
302,2820
303,82
304,4462
305,2225
306,4851
307,284
308,4203
309,5668
310,1960
311,1535
312,1869
313,806
314,392
315,7232
316,4018
317,1884
318,4262
319,71
320,64
321,2263
322,9685
323,6472
324,4670
325,1103
326,2405
327,334
328,1863
329,4669
330,4504
331,7086
332,5847
333,5181
334,3917
335,2993
336,1328
337,188
338,386
339,3499
340,858
341,2967
342,473
343,3116
344,5134
345,5258
346,1178
347,1496
348,1745
349,4775
350,2499
351,4744
352,3418
353,5737
354,1023
355,1670
356,6687
357,3216
358,4214
359,7901
360,4480
361,2134
362,5538
363,5392
364,20
365,4488
366,1695
367,1499
368,2790
369,3826
370,3190
371,3859
372,3117
373,6048
374,9445
375,577
376,6168
377,3402
378,696
379,3448
380,1770
381,6043
382,2885
383,2443
384,12
385,2625
386,682
387,7749
388,643
389,1726
390,5191
391,96
392,8891
393,8433
394,2392
395,1423
396,878
397,745
398,4858
399,238
400,1168
401,2436
402,3788
403,745
404,5191
405,2405
406,9532
407,1526
408,2506
409,2631
410,442
411,1399
412,884
413,9267
414,2579
415,5488
416,3486
417,4311
418,915
419,4644
420,779
421,4402
422,5142
423,1737
424,8973
425,2055
426,1986
427,7249
428,9429
429,443
430,592
431,3
432,962
433,1851
434,6871
435,120
436,4326
437,6602
438,8553
439,83
440,1133
441,2657
442,8498
443,7940
444,664
445,995
446,4045
447,4508
448,2071
449,556
450,2576
451,3424
452,910
453,4513
454,366
455,4402
456,7315
457,3349
458,7891
459,4241
460,3786
461,8569
462,6303
463,2786
464,574
465,1575
466,7401
467,5131
468,2101
